strt_dt,end_dt,name,article,loc,pageurl,wrktime,price,note
2025-10-25,2025-11-02,2025 臺北設計獎入圍作品展,臺北是一個充滿活力、不斷創新的城市，臺北市政府產業發展局自 2008 年辦理「臺北設計獎」(Taipei Design Award，今年邁入第 18 屆。以「讓設計成為形塑美好未來的驅動力」的願景出發，公開徵選優秀作品，打造臺北市成為創意設計匯流平臺 ，藉以發掘具商機潛力的創意設計、鼓勵社會設計意涵，擴大設計影響力，同時強化企業及產品附加價值，進而提升設計產業發展。,台灣設計館 02/03 展間,https://www.songshanculturalpark.org/exhibition/activity/099b9047-131c-4d26-8bd6-70a75cddf57b,10:00 - 17:00 (最後入場時間請參考現場公告),免費入場,無資訊
2025-09-16,2025-11-16,紅點設計獎巡迴特展 —「台灣當代設計」,本次 Contemporary Taiwanese Design Awarded by Red Dot  紅點設計獎巡迴特展：「台灣當代設計」展以紅點設計獎的核心使命——In search of good design and creativity——為基礎，精選台灣年度獲獎作品，涵蓋產品設計、品牌傳達與概念設計等多元領域，完整呈現台灣設計的創新能量與產業實力。,台灣設計館 @04展間（西向製菸工廠1樓）,https://www.songshanculturalpark.org/exhibition/activity/37a2de30-f0b3-4505-b39c-e42e88540ef9,10:00 – 18:00 #每週一休館,50元 / 40元 (團體票) / 免費 (優待票),無資訊
2025-10-22,2025-11-09,SMALL PLANET POP UP STORE 小星屋快閃店,SMALL PLANET POP UP STORE 小星屋快閃店一次帶來日本搞笑無厘頭的蠟筆小新、日本原宿風 LOVELY FRIENDS、韓國療癒系 Sleepy Teddy 絲莉比小熊回來台北松菸，實用可愛系生活雜貨和療癒心靈娃娃等週邊小物，一次讓大家在松菸都能看得到!,南向製菸工廠 1F 藝異空間,https://www.songshanculturalpark.org/exhibition/activity/f33cb635-6d60-4788-b9ea-c46cddc7eeca,11:00 - 19:00 (最後入店時間為 18:40),免費入場,無資訊
2025-11-01,2025-11-02,2025 食之有 WAY ── 學校午餐與食農教育博覽會,11 月 1 日、2 日，2025 食之有 WAY ── 學校午餐與食農教育博覽會，集結 40+ 個單位、20+ 個體驗活動，呈現學校午餐這條河流精彩的樣貌，從上、中、下游的角度訴說大量製備學校午餐需要顧及的方方面面。,松山文創園區 5 號倉庫,https://www.songshanculturalpark.org/exhibition/activity/e985eae2-32d5-4c3f-adc7-30d1a344d070,11/1 10:00 – 18:00，11/2 10:00-17:00,免費入場,無資訊
2025-11-06,2025-11-09,2025台灣迷你合金車展｜TAIWAN DIECAST EXPO,「2025 台灣迷你合金車展：第一章」集結全球經典品牌與資深玩家珍藏，打造專屬模型車迷的年度盛會。現場展出多款限定車款、玩家特展、創意挑戰賽與豐富滿額活動，讓收藏、交流與體驗一次滿足。慶祝頭文字 D 30 周年，更將原汁原味呈現作品裡經典場景！11/6–11/9 於松山文創園區三號倉庫盛大登場，免費入場，一起感受迷你合金車的重量與速度！,松山文創園區三號倉庫,https://www.songshanculturalpark.org/exhibition/activity/1c96d623-ca59-4a91-9353-b12bb69dbb3c,"11/6-11/8 10:30 — 18:00 （最後排隊：17:00；最後入場17:30）
11/9 10：30 — 17:00 （最後排隊14:30；最後入場16:30）",免費入場,"①TDE自策展區：邀請資深玩家展示珍藏車款，並與TOMYTEC合作舉辦CARSNAP攝影比賽與線上心理測驗，找出最適合你的車款！
②合金車品牌專區：六大經典品牌集結登場，並設有台灣人熟悉的55688與經典作品《頭文字D》特別展區，帶你進入拓海的世界。
③互動區：共三項付費互動區：「大樂透拚好運」、「LUCKY7挑戰賽」及「創意彩繪車」，歡迎大小朋友盡情參與！
④商品販售區：限量販售 TDE 限定車款、首賣車款及多品牌周邊，收藏迷必訪！"
2025-11-15,2025-11-23,2025紙上躍躍然．典美插畫大賞,在人生的旅程中，每一次暫停、每一段沉澱，都是轉向的契機,南向製菸工廠一樓 藝異空間,https://www.songshanculturalpark.org/exhibition/activity/b864df97-d69c-4bb1-8f04-a14482de6bc0,10:00-17:00,免費參觀,"頒獎典禮暨得獎者分享會,日期:11/15(六),時間:14:00-16:00,票價:無資訊;專題講座｜走進繪本出版幕後-編輯視角下的出版旅程,日期:11/22(六),時間:14:00-15:30,票價:無資訊"
2025-11-04,2025-11-29,設 · 無界 | 2025 年 iF 設計獎獲獎作品展 (VI),「iF設 · 無界」展為 2025 年 iF 設計獎台灣獲獎作品系列宣傳活動的第六檔展覽，展出全球 30 件獲獎產品、包裝及傳達設計作品，帶你跨越文化與地域，體驗無限延伸的創意設計，並為此系列展覽劃下完美句點。,iF 台北設計沙龍 松山文創園區 西向製菸工廠二樓 A7 W207,https://www.songshanculturalpark.org/exhibition/activity/41a5293e-abdd-41fa-8c09-170389eb96a6,10:00 - 17:00 (週日公休),免費入場,無資訊
2025-11-08,2025-11-30,【HAPPY GARDEN 樂作奇想花園】親子氣墊遊樂展,【HAPPY GARDEN 樂作奇想花園】全台首場結合公益與遊樂的親子氣墊展登場！由台灣樂作創益協會主辦，邀您與孩子一同走進近百坪奇想花園，在遊戲、互動與吉祥物樂寶陪伴中，體驗寓教於樂的快樂公益。活動所得將全數投入公益，讓每一次玩樂都成為助人的力量。,松山文創園區 南向製菸工廠一樓,https://www.songshanculturalpark.org/exhibition/activity/04992d9f-6dfd-4d3f-9e82-1998c3909bde,每日 10:00 – 18:00,捐款 300 元即贈一張票券；2 歲以下嬰幼兒、65 歲以上長者、身心障礙者與1名成年陪同者免費入場,無資訊
2025-11-20,2025-11-30,《我豬到了》—楊正秋手捏陶豬展,2025	年 11 月 20 日～30 日《我豬到了》-楊正秋手捏陶豬展，從收藏到創作的 66 人生即將登場。,松山文創園區-藝思空間（S101）,https://www.songshanculturalpark.org/exhibition/activity/2981b5b0-1dac-400d-a47a-665d42c45181,10:00 – 17:00,免費入場,無資訊
2025-11-27,2025-12-01,引覓 In'me 藝術聯合畫展,在色彩與線條交織的世界裡，我們以創作為語言，描繪情緒的流動與思想的軌跡。《引覓 In'me》是一場關於「看見內心」的展覽，邀請您走進這片由情感編織的空間，傾聽每位創作者的無聲傾訴。,北向製菸工廠,https://www.songshanculturalpark.org/exhibition/activity/badd5f0b-8743-4f67-83f0-6e70109852e0,09:30 - 19:30,全時段免費入場，無需預約。,無資訊
2024-01-20,2025-12-28,幻隱光靈,《幻隱光靈》為全台首創複合式沉浸娛樂，由西瓜皮育樂與Miss GAME聯合出品。《幻隱光靈》共有三大主題館：仙蹤、屍禁、學院，三館的遊戲謎題、機關設置、美術設計皆由Miss GAME全新打造！玩家將化身為擁有靈力的幻術師，前往精靈、人類、獸人三界執行神秘任務。,製菸工廠南向 一樓 南向製菸工廠 A7- S104,https://www.songshanculturalpark.org/exhibition/activity/cccb5c2a-5014-4c21-9265-54df4e0bc2c5,平日：13:00 – 18:00 (週三休館，如遇連假滾動式調整) 假日：11:00 – 20:00,無資訊,"名稱：《幻隱光靈》：仙蹤、日期：2024/1/17~2026/02/28、時間：無資訊、票價：平日票 $300/人, 假日票 $400, 親子票 $499/一大一小, 家庭票 $900/兩大兩小, 愛心票$200, 2人包場價 $2,200, 3人包場價 $2,200, 4人包場價 $2,600, 5人包場價 $3,250, 6人包場價 $3,900
名稱：《幻隱光靈》：屍禁、日期：2024/10/26~2026/02/28、時間：60分鐘、票價：2人包場 $2,400, 3人包場 $2,700, 4人包場 $3,000, 5人包場 $3,750, 6人包場 $4,500
名稱：《幻隱光靈》：學院、日期：2024/4/20~2026/02/28、時間：T0分鐘、票價：無資訊
名稱：《幻隱光靈》：三界、日期：2025/3月正式上線, 9/12-9/14, 10/17-10/19, 11/7-11/9, 11/21-11/23, 12/12-12/14, 2026/1/9-1/11、時間：l20分鐘、票價：[專屬角色] $2,180, [加入陣營] $2,180, 單人票 $1,680, 雙八票 $3,198, 五八票 $7,495"
